alert_ts,event_ts,price,volume,alert_type,score,explanation,proc_latency_ms
2025-11-13T17:12:59.338870,2025-11-07 07:33:00+00:00,2976.0,3610.0,ANOMALY,0.6,rule_vol_z=5.45,36.99
2025-11-13T17:12:59.577205,2025-11-07 07:38:00+00:00,2975.0,2176.0,ANOMALY,0.6,rule_vol_z=3.08,23.0
2025-11-13T17:12:59.627211,2025-11-07 07:39:00+00:00,2975.0,8955.0,ANOMALY,1.0,rule_vol_z=14.30;iso_score=-0.018,25.0
2025-11-13T17:12:59.673229,2025-11-07 07:40:00+00:00,2975.35009765625,7609.0,ANOMALY,1.0,rule_vol_z=12.07;iso_score=-0.015,22.0
2025-11-13T17:13:00.527070,2025-11-07 07:56:00+00:00,2977.5,2258.0,ANOMALY,0.6,rule_vol_z=3.21,34.0
2025-11-13T17:13:00.725205,2025-11-07 08:00:00+00:00,2980.0,2995.0,ANOMALY,0.6,rule_vol_z=4.43,28.01
2025-11-13T17:13:00.945154,2025-11-07 08:04:00+00:00,2980.0,3232.0,ANOMALY,1.0,rule_vol_z=4.83;iso_score=-0.006,27.02
2025-11-13T17:13:01.010254,2025-11-07 08:05:00+00:00,2980.0,4154.0,ANOMALY,1.0,rule_vol_z=6.35;iso_score=-0.049,28.0
2025-11-13T17:13:02.392347,2025-11-07 08:29:00+00:00,2975.550048828125,3949.0,ANOMALY,1.0,rule_vol_z=6.01;iso_score=-0.000,19.99
2025-11-13T17:13:02.500197,2025-11-07 08:31:00+00:00,2973.550048828125,4088.0,ANOMALY,1.0,rule_vol_z=6.24;iso_score=-0.013,34.03
2025-11-13T17:13:02.778376,2025-11-07 08:36:00+00:00,2973.14990234375,2896.0,ANOMALY,0.6,rule_vol_z=4.27,25.04
2025-11-13T17:13:03.076458,2025-11-07 08:41:00+00:00,2974.64990234375,3163.0,ANOMALY,0.6,rule_vol_z=4.71,42.04
2025-11-13T17:13:03.531373,2025-11-07 08:48:00+00:00,2975.0,2269.0,ANOMALY,0.6,rule_vol_z=3.23,35.01
2025-11-13T17:13:05.061830,2025-11-07 09:13:00+00:00,2987.0,8471.0,ANOMALY,1.0,rule_vol_z=13.50;iso_score=-0.094,37.05
2025-11-13T17:13:05.717501,2025-11-07 09:24:00+00:00,2992.5,1497.0,ANOMALY,0.4,iso_score=-0.030,20.0
2025-11-13T17:13:06.036998,2025-11-07 09:30:00+00:00,2991.10009765625,2068.0,ANOMALY,0.4,iso_score=-0.042,20.02
2025-11-13T17:13:06.182085,2025-11-07 09:33:00+00:00,2992.0,1787.0,ANOMALY,0.4,iso_score=-0.037,21.0
2025-11-13T17:13:07.743447,2025-11-10 03:45:00+00:00,3002.199951171875,921.0,ANOMALY,0.4,iso_score=-0.004,21.04
2025-11-13T17:13:08.064687,2025-11-10 03:50:00+00:00,3010.60009765625,1329.0,ANOMALY,0.4,iso_score=-0.024,53.01
2025-11-13T17:13:09.168251,2025-11-10 04:09:00+00:00,2997.5,1210.0,ANOMALY,0.4,iso_score=-0.021,36.03
2025-11-13T17:13:10.480785,2025-11-10 04:31:00+00:00,3008.60009765625,1406.0,ANOMALY,0.4,iso_score=-0.028,34.01
2025-11-13T17:13:10.741119,2025-11-10 04:35:00+00:00,3011.050048828125,1242.0,ANOMALY,0.4,iso_score=-0.021,37.0
2025-11-13T17:13:11.334012,2025-11-10 04:45:00+00:00,3018.699951171875,890.0,ANOMALY,0.4,iso_score=-0.000,24.04
2025-11-13T17:13:11.563554,2025-11-10 04:49:00+00:00,3030.0,3954.0,ANOMALY,1.0,rule_vol_z=6.02;iso_score=-0.082,30.04
2025-11-13T17:13:12.103714,2025-11-10 04:58:00+00:00,3039.64990234375,4856.0,ANOMALY,1.0,rule_vol_z=7.52;iso_score=-0.094,30.03
2025-11-13T17:13:12.175099,2025-11-10 04:59:00+00:00,3037.199951171875,1115.0,ANOMALY,0.4,iso_score=-0.013,36.05
2025-11-13T17:13:12.236409,2025-11-10 05:00:00+00:00,3040.39990234375,2384.0,ANOMALY,1.0,rule_vol_z=3.42;iso_score=-0.049,36.03
2025-11-13T17:13:12.568339,2025-11-10 05:06:00+00:00,3036.800048828125,2205.0,ANOMALY,1.0,rule_vol_z=3.12;iso_score=-0.050,21.04
2025-11-13T17:13:14.313566,2025-11-10 05:35:00+00:00,3043.89990234375,914.0,ANOMALY,0.4,iso_score=-0.004,38.04
2025-11-13T17:13:14.408119,2025-11-10 05:37:00+00:00,3043.0,1342.0,ANOMALY,0.4,iso_score=-0.026,22.01
2025-11-13T17:13:14.458459,2025-11-10 05:38:00+00:00,3044.0,1058.0,ANOMALY,0.4,iso_score=-0.012,23.0
2025-11-13T17:13:17.570127,2025-11-10 06:31:00+00:00,3037.449951171875,3069.0,ANOMALY,1.0,rule_vol_z=4.56;iso_score=-0.054,27.02
2025-11-13T17:13:17.722370,2025-11-10 06:34:00+00:00,3037.300048828125,3130.0,ANOMALY,1.0,rule_vol_z=4.66;iso_score=-0.058,35.05
2025-11-13T17:13:17.779082,2025-11-10 06:35:00+00:00,3034.75,2896.0,ANOMALY,1.0,rule_vol_z=4.27;iso_score=-0.050,28.04
2025-11-13T17:13:18.537482,2025-11-10 06:48:00+00:00,3028.14990234375,2835.0,ANOMALY,1.0,rule_vol_z=4.17;iso_score=-0.048,25.0
2025-11-13T17:13:28.188485,2025-11-10 09:33:00+00:00,3025.5,3016.0,ANOMALY,1.0,rule_vol_z=4.47;iso_score=-0.052,28.0
2025-11-13T17:13:28.306753,2025-11-10 09:35:00+00:00,3027.10009765625,3139.0,ANOMALY,1.0,rule_vol_z=4.67;iso_score=-0.058,35.05
2025-11-13T17:13:29.790840,2025-11-11 03:45:00+00:00,3050.10009765625,3441.0,ANOMALY,1.0,rule_vol_z=5.17;iso_score=-0.062,21.02
2025-11-13T17:13:29.841585,2025-11-11 03:46:00+00:00,3040.89990234375,1057.0,ANOMALY,0.4,iso_score=-0.011,25.04
2025-11-13T17:13:29.961411,2025-11-11 03:48:00+00:00,3040.0,1665.0,ANOMALY,0.4,iso_score=-0.037,32.0
2025-11-13T17:13:30.146726,2025-11-11 03:51:00+00:00,3037.64990234375,1328.0,ANOMALY,0.4,iso_score=-0.024,27.04
2025-11-13T17:13:30.442291,2025-11-11 03:56:00+00:00,3027.0,1502.0,ANOMALY,0.4,iso_score=-0.030,22.01
2025-11-13T17:13:30.693623,2025-11-11 04:00:00+00:00,3024.0,1351.0,ANOMALY,0.4,iso_score=-0.026,34.02
2025-11-13T17:13:34.574710,2025-11-11 05:03:00+00:00,3025.39990234375,1524.0,ANOMALY,0.4,iso_score=-0.029,23.03
